Trim,Mileage,Engine,NCT_Expiry,Year,Transmission,Total_Owners,Make,Fuel_Type,Body_Type,Doors,Trim_Level,Seats,Colour,Road_Tax,Rural_Fuel_Consumption,Comb_Fuel_Consumption,Urban_Fuel_Consumption,Engine_Size,External_Length,External_Height,External_Width,Euro_NCAP_Overall_Safety_Rating,Child_Protection_Rating,Safety_Assistance_Rating,Adult_Protection_Rating,Pedestrian_Protection_Rating,Current_Country_Of_Reg,Imported,Independant_Dealer,Counties,Model,Price,Boot_Volume,Ground_Clearance,County,Fuel_Tank_Capacity,Engine_Power,Top_Speed,Battery_Capacity,Acceleration,section,combined,sentiment,sentiment3,sentiment2
SV,187000.0,1.5 L Diesel,Jan 2027,2017.0,Manual,2,Nissan,Diesel,SUV,4,Medium Trim,5,Red,190.0,3.7 L/100 km,4.0 L/100 km,4.6 L/100 km,1.5 L,4.14 m,1.57 m,1.77 m,5/5,81%,71%,87%,41%,Ireland,No,Independent Dealer,"Portumna, Co. Galway",Juke,10450.0,"1,189 L",18 cm,Co. Galway,46 L,,,,,,Nissan Juke,0.0907860614228538,1,1
Titanium,60000.0,1.0 L Petrol,Sep 2026,2020.0,Manual,1,Ford,Petrol,Hatchback,4,Medium Trim,5,Red,180.0,,,,1.0 L,4.04 m,1.48 m,1.74 m,5/5,84%,60%,87%,64%,Ireland,No,"Franchise Dealer
4.6/5","Sandyford, Co. Dublin",Fiesta,16900.0,"1,093 L",13 cm,Co. Dublin,42 L,,,,,,Ford Fiesta,0.1742424242424242,2,5
Elegance,12225.0,1.2 L Petrol,Jun 2028,2024.0,Manual,1,Opel,Petrol,Hatchback,4,Base Trim,5,White,200.0,,,,1.2 L,4.06 m,,1.77 m,4/5,86%,69%,84%,66%,Ireland,No,Franchise Dealer,"Castleisland, Co. Kerry",Corsa,23950.0,"1,118 L",,,40 L,,,,,,Opel Corsa,-0.75,1,3
N,284000.0,1.9 L Diesel,Jan 2025,2008.0,Manual,2,Alfa Romeo,,,,,,,600.0,,,,,,,,,,,,,Ireland,No,"Private Seller
No rating yet","Ashbourne, Co. Meath",159,1500.0,,,,,,,,,,Alfa Romeo 159,0.03,1,4
---,,1.6 L Petrol Hybrid,---,2025.0,Automatic,---,Kia,Petrol Hybrid,Estate,5,---,---,Grey,,,,,,,,,,,,,,,,"Independent Dealer
4.7/5",Co. Sligo,Niro,,,,Co. Sligo,,,,,,,Kia Niro,0.1962121212121212,2,3
---,108000.0,2.0 L Petrol,Feb 2026,2014.0,Automatic,---,Volkswagen,Petrol,Hatchback,4,---,---,Silver,,,,,,,,,,,,,,Ireland,No,Independent Dealer,"Lusk, Co. Dublin",Golf,17950.0,,,Co. Dublin,,,,,,,Volkswagen Golf,0.0,1,5
Titanium,101000.0,1.1 L Petrol,Jan 2026,2018.0,Manual,3,Ford,Petrol,Hatchback,4,Luxury Trim,5,White,190.0,3.7 L/100 km,4.4 L/100 km,5.6 L/100 km,1.1 L,4.04 m,1.48 m,1.74 m,5/5,84%,60%,87%,64%,Ireland,No,"Franchise Dealer
4.0/5",Co. Limerick,Fiesta,14500.0,"1,093 L",13 cm,Co. Limerick,42 L,,,,,,Ford Fiesta,0.1742424242424242,2,5
Sport,155387.0,1.8 L Hybrid,Jan 2027,2019.0,Automatic,3,Toyota,Hybrid,SUV,4,Base Trim,5,Black,,,,,1.8 L,4.36 m,1.57 m,1.80 m,5/5,77%,78%,95%,76%,Ireland,No,"Franchise Dealer
4.7/5","Cavan, Co. Cavan",C-HR,20950.0,"1,160 L",,Co. Cavan,,,,,,,Toyota C-HR,0.0,1,5
GS,19761.0,1.2 L Petrol,Jan 2028,2024.0,Automatic,1,Opel,Petrol,SUV,4,Luxury Trim,5,Black,210.0,,5.9 L/100 km,,1.2 L,4.15 m,,1.79 m,4/5,75%,64%,73%,58%,Ireland,No,"Franchise Dealer
4.4/5","Naas, Co. Kildare",Mokka,31950.0,"1,105 L",,Co. Kildare,44 L,,,,,,Opel Mokka,0.095,1,1
K3,43000.0,1.6 L Petrol Plug-in Hybrid,Mar 2027,2023.0,Automatic,1,Kia,Petrol Plug-in Hybrid,MPV,5,Medium Trim,5,Red,,,,,,,,,5/5,86%,72%,87%,66%,Ireland,No,Franchise Dealer,Co. Cork,Sportage,41450.0,,,Co. Cork,,,,,,,Kia Sportage,0.1666666666666666,1,4
Titanium,166000.0,1.5 L Diesel,May 2026,2016.0,Manual,2,Ford,Diesel,MPV,---,Luxury Trim,7,Blue,200.0,4.1 L/100 km,4.4 L/100 km,4.9 L/100 km,1.5 L,4.52 m,1.70 m,1.83 m,5/5,81%,71%,96%,50%,Ireland,UK,"Franchise Dealer
4.0/5",Co. Limerick,Grand C-Max,15000.0,"1,715 L",,Co. Limerick,,,,,,,Ford Grand C-Max,0.371875,1,2
---,75999.0,1.5 L Petrol Hybrid,Apr 2027,2018.0,Automatic,1,Toyota,Petrol Hybrid,Hatchback,5,---,---,Grey,,,,,,,,,,,,,,,,Independent Dealer,Co. Dublin,Vitz,13950.0,,,Co. Dublin,,,,,,,Toyota Vitz,-0.025,1,2
---,67993.00566,2.0 L Diesel,---,2022.0,Manual,---,Volkswagen,Diesel,---,---,---,2,White,200.0,,,,,,,,,,,,,UK,,Franchise Dealer,"Dungannon, Co. Tyrone",Caddy,21054.15,,,,,,,,,,Volkswagen Caddy,0.4,1,3
Life,24313.0,1.0 L Petrol,Feb 2028,2024.0,Automatic,1,Volkswagen,Petrol,Hatchback,5,Medium Trim,5,Black,200.0,,5.5 L/100 km,,1.0 L,4.07 m,,1.75 m,5/5,85%,59%,96%,76%,Ireland,No,"Franchise Dealer
4.4/5",Co. Cork,Polo,26900.0,"1,125 L",,Co. Cork,40 L,,,,,,Volkswagen Polo,0.3681818181818181,2,1
Deluxe NLine,80000.0,1.0 L Petrol,Jul 2025,2021.0,Manual,1,Hyundai,Petrol,Hatchback,5,Luxury Trim,5,Grey,210.0,,6.0 L/100 km,,1.0 L,4.34 m,1.46 m,1.80 m,5/5,84%,68%,88%,64%,Ireland,No,"Franchise Dealer
4.7/5",Co. Galway,i30,20750.0,"1,301 L",14 cm,Co. Galway,50 L,,,,,,Hyundai i30,0.1575883838383838,1,2
N,206851.0,1.5 L Petrol,Feb 2026,2010.0,Automatic,5,Honda,,,,,,,180.0,,,,,,,,,,,,,Ireland,Unknown country,"Private Seller
No rating yet","Wellingtonbridge, Co. Wexford",CR-Z,4450.0,,,,,,,,,,Honda CR-Z,0.081060606060606,1,1
EXECUTIVE,182000.0,2.2 L Diesel,Feb 2026,2018.0,Manual,1,Mazda,Diesel,SUV,4,Base Trim,5,Blue,280.0,4.1 L/100 km,4.6 L/100 km,5.4 L/100 km,2.2 L,4.56 m,1.71 m,1.84 m,5/5,87%,86%,94%,64%,Ireland,No,"Verified Private Seller
No rating yet","Newcastle West, Co. Limerick",CX-5,14500.0,,,,,,,,,,Mazda CX-5,0.1147433816183816,1,1
---,59000.0,1.5 L Petrol Hybrid,Aug 2026,2022.0,Automatic,1,Land Rover,Petrol Hybrid,SUV,5,---,---,Black,140.0,,,,,,,,,,,,,,,Franchise Dealer,Co. Wicklow,Range Rover Evoque,39950.0,,,,,,,,,,Land Rover Range Rover Evoque,-0.75,1,2
---,144840.6,1.2 L Petrol,---,2016.0,Manual,5,Peugeot,Petrol,Hatchback,3,---,5,Black,190.0,,,,,,,,,,,,,UK,,"Verified Private Seller
5.0/5 (1)","Strabane, Co. Tyrone",208,12356.0,,,,,,,,,,Peugeot 208,0.0875,1,2
SC,99000.0,1.5 L Diesel,Jul 2025,2021.0,Manual,2,Opel,Diesel,Hatchback,5,Base Trim,5,Grey,200.0,,4.6 L/100 km,,1.5 L,4.90 m,,1.86 m,,,,,,Ireland,No,Independent Dealer,"Blackpool, Co. Cork",Insignia,17250.0,,,Co. Cork,,,,,,,Opel Insignia,0.4604166666666667,1,5
---,237817.0,3.0 L Diesel,---,2016.0,Automatic,2,Land Rover,Diesel,SUV,4,---,5,Blue,,,,,,,,,,,,,,Ireland,No,"Franchise Dealer
4.0/5",Co. Limerick,Discovery,27950.0,,,Co. Limerick,,,,,,,Land Rover Discovery,0.1946458633958633,1,3
Zetec,156000.0,1.0 L Petrol,Sep 2025,2015.0,Manual,2,Ford,Petrol,Hatchback,4,Medium Trim,5,Blue,180.0,3.8 L/100 km,4.3 L/100 km,5.1 L/100 km,1.0 L,3.97 m,1.47 m,1.72 m,5/5,86%,71%,91%,65%,Ireland,No,"Verified Private Seller
5.0/5 (1)","Waterford City, Co. Waterford",Fiesta,7999.0,974 L,,,42 L,,,,,,Ford Fiesta,0.1742424242424242,2,5
N,250000.0,1.4 L Petrol,Oct 2025,2010.0,Manual,7,Citroen,,,,,,,280.0,,,,1.4 L,,,,,,,,,Ireland,No,Independent Dealer,"Gort, Co. Galway",C3,1600.0,,,,,,,,,,Citroen C3,0.1844444444444444,1,5
---,2609.0,Electric,---,2024.0,Automatic,---,Mercedes-Benz,Electric,Coupe,---,---,---,Black,,,,,,,,,,,,,,,,"Franchise Dealer
4.7/5","Kildare, Co. Kildare",AMG,99950.0,,,Co. Kildare,,,,,,,Mercedes-Benz AMG,0.2285714285714286,2,5
TX,184880.9792,1.4 L Petrol,Apr 2024,2012.0,Manual,2,Kia,Petrol,Hatchback,5,Base Trim,5,Black,280.0,4.9 L/100 km,6.0 L/100 km,7.9 L/100 km,1.4 L,4.31 m,1.47 m,1.78 m,,,,,,Ireland,UK,"Private Seller
No rating yet","Buncrana, Co. Donegal",Ceed,1600.0,"1,318 L",14 cm,,53 L,,,,,,Kia Ceed,0.1712962962962962,1,3
ACTIVE,148059.28,1.6 L Diesel,Feb 2025,2012.0,Automatic,3,Peugeot,Diesel,Hatchback,5,Medium Trim,5,Black,200.0,4.2 L/100 km,4.5 L/100 km,5.0 L/100 km,1.6 L,4.37 m,1.64 m,1.84 m,,,,,,Ireland,UK,Independent Dealer,"Dublin 12, Co. Dublin",3008,4950.0,"1,241 L",15 cm,,60 L,,,,,,Peugeot 3008,0.3333333333333333,2,4
Elite,25694.0,1.2 L Petrol,Jul 2026,2022.0,Automatic,1,Opel,Petrol,SUV,4,Luxury Trim,5,Grey,,,,,1.2 L,4.48 m,,1.86 m,5/5,87%,60%,84%,63%,Ireland,No,"Franchise Dealer
4.8/5",Co. Waterford,Grandland X,29995.0,,,Co. Waterford,,,,,,,Opel Grandland X,0.3999999999999999,1,4
Aura,194999.0,2.0 L Diesel,May 2026,2011.0,Manual,3,Toyota,Diesel,Saloon,4,Medium Trim,5,Black,,,,,2.0 L,4.70 m,1.48 m,1.81 m,,,,,,Ireland,No,Independent Dealer,"Clondalkin, Co. Dublin",Avensis,4995.0,,,,,,,,,,Toyota Avensis,0.0589657738095238,1,2
SE,26950.0,1.0 L Petrol,Mar 2027,2023.0,Manual,1,Audi,Petrol,Hatchback,5,Medium Trim,5,Grey,200.0,,5.6 L/100 km,,1.0 L,4.34 m,,1.82 m,5/5,81%,73%,89%,68%,Ireland,No,"Franchise Dealer
4.3/5",Co. Waterford,A3,33950.0,"1,200 L",,Co. Waterford,45 L,,,,,,Audi A3,0.2924242424242424,1,3
---,140999.0,2.5 L Hybrid,Feb 2026,2014.0,Automatic,---,Lexus,Hybrid,Saloon,4,---,---,White,,,,,,,,,,,,,,Ireland,No,Independent Dealer,"Lusk, Co. Dublin",GS,17950.0,,,Co. Dublin,,,,,,,Lexus GS,0.3367906336088154,1,5
---,69894.0,1.4 L Petrol,---,2018.0,Automatic,1,Audi,Petrol,Hatchback,5,---,---,White,,,,,,,,,,,,,,,,"Independent Dealer
4.9/5","Dublin 14, Co. Dublin",A3,20995.0,,,Co. Dublin,,,,,,,Audi A3,0.2924242424242424,1,3
Zetec,89000.0,1.1 L Petrol,Jan 2026,2020.0,Manual,1,Ford,Petrol,Hatchback,4,Base Trim,5,Blue,190.0,4.3 L/100 km,5.1 L/100 km,6.4 L/100 km,1.1 L,4.04 m,1.48 m,1.74 m,,,,,,Ireland,No,Independent Dealer,Co. Meath,Fiesta,16950.0,,,,,,,,,,Ford Fiesta,0.1742424242424242,2,5
---,59542.361319999996,3.0 L Diesel,---,2022.0,Automatic,2,Land Rover,Diesel,---,5,---,5,Green,2400.0,,,,,,,,,,,,,UK,,Franchise Dealer,"Dungannon, Co. Tyrone",Defender,58494.15,,,,,,,,,,Land Rover Defender,0.0465178096757044,1,2
---,101388.42,2.5 L Petrol Hybrid,---,2022.0,Automatic,1,Ford,Petrol Hybrid,SUV,5,---,5,Black,140.0,,,,,,,,,,,,,UK,,"Independent Dealer
4.7/5",Co. Mayo,Kuga,30950.0,,,Co. Mayo,,,,,,,Ford Kuga,0.2831313131313131,2,3
N,302555.92,1.3 L Petrol,Oct 2025,2007.0,Manual,3,Honda,,,,,,,385.0,,,,,,,,,,,,,Ireland,No,"Private Seller
5.0/5 (58)","Kilmallock, Co. Limerick",Civic,1550.0,,,,,,,,,,Honda Civic,0.0904526942355889,1,2
Allure,70460.0,310 km (WLTP) Electric,Aug 2026,2022.0,Automatic,1,Peugeot,Electric,MPV,4,Medium Trim,5,White,,,,,,4.30 m,,1.77 m,4/5,84%,68%,91%,62%,Ireland,No,Franchise Dealer,Co. Dublin,2008,20495.0,"1,467 L",,Co. Dublin,,136 hp,,,,,Peugeot 2008,0.211038961038961,2,3
Allure,167783.0,1.5 L Diesel,Aug 2026,2018.0,Manual,1,Peugeot,Diesel,MPV,5,Medium Trim,5,Grey,190.0,3.7 L/100 km,4.0 L/100 km,4.6 L/100 km,1.5 L,4.45 m,1.62 m,1.84 m,5/5,85%,58%,86%,67%,Ireland,UK,Franchise Dealer,"Cloghan, Co. Offaly",3008,21995.0,"1,482 L",,Co. Offaly,,,,,,,Peugeot 3008,0.3333333333333333,2,4
Style,87500.0,1.5 L Petrol,Jul 2025,2019.0,Automatic,2,Skoda,Petrol,SUV,4,Medium Trim,7,Grey,400.0,,,,1.5 L,4.70 m,1.68 m,1.88 m,5/5,77%,54%,92%,71%,Ireland,No,Franchise Dealer,"Cloghran, Co. Dublin",Kodiaq,35950.0,"2,065 L",19 cm,Co. Dublin,58 L,,,,,,Skoda Kodiaq,0.0285853096179183,1,2
Anniversary Edition,,1.6 L Petrol Hybrid,Mar 2028,2025.0,Automatic,1,Kia,Petrol Hybrid,SUV,5,Medium Trim,5,Grey,200.0,,5.7 L/100 km,,1.6 L,4.52 m,,1.87 m,5/5,86%,72%,87%,66%,,,"Independent Dealer
4.7/5",Co. Sligo,Sportage,,,,Co. Sligo,,230 hp,193 km/h,1.5 kWh,8.0 sec,,Kia Sportage,0.1666666666666666,1,4
Feel,221236.0,1.6 L Diesel,Mar 2025,2017.0,Manual,2,Citroen,Diesel,MPV,4,Base Trim,5,Grey,,,,,1.6 L,4.38 m,1.80 m,1.81 m,,,,,,Ireland,No,Franchise Dealer,"Cloghan, Co. Offaly",Berlingo Multispace,11495.0,,,Co. Offaly,,,,,,,Citroen Berlingo Multispace,0.1875,1,2
GT,31421.0,1.6 L Petrol Plug-in Hybrid,Mar 2027,2021.0,Automatic,2,Peugeot,Petrol Plug-in Hybrid,MPV,4,Luxury Trim,5,White,140.0,,,,1.6 L,4.45 m,,1.84 m,5/5,85%,58%,86%,67%,Ireland,No,Franchise Dealer,Co. Meath,3008,31850.0,"1,482 L",,Co. Meath,43 L,,,13.2 kWh,,,Peugeot 3008,0.3333333333333333,2,4
Progressive,15400.0,2.0 L Diesel,Mar 2028,2024.0,Automatic,1,Mercedes-Benz,Diesel,MPV,5,Base Trim,7,Grey,270.0,,5.5 L/100 km,,2.0 L,4.63 m,,1.83 m,5/5,88%,74%,92%,78%,Ireland,No,"Franchise Dealer
4.7/5",Co. Cork,GLB,59950.0,,,Co. Cork,,,,,,,Mercedes-Benz GLB,0.0055555555555555,2,4
---,192658.0,1.6 L Diesel,Oct 2025,2013.0,Automatic,9,Volkswagen,Diesel,Estate,5,---,7,Brown,400.0,,,,1.6 L,,,,,,,,,Ireland,No,"Verified Private Seller
3.0/5 (2)","Wexford Town, Co. Wexford",Caddy Maxi Life,9495.0,,,,,,,,,,Volkswagen Caddy Maxi Life,0.9,1,5
---,338.0,2.5 L Petrol Plug-in Hybrid,---,2025.0,Automatic,0,Ford,Petrol Plug-in Hybrid,Van,6,---,8,Other,120.0,,,,,,,,,,,,,Other,,"Independent Dealer
4.6/5","Dublin 11, Co. Dublin",Tourneo,123.0,,,Co. Dublin,,,,,,,Ford Tourneo,0.25,1,3
---,6437.36,2.0 L Diesel,---,2023.0,Automatic,0,Volkswagen,Diesel,MPV,5,---,7,Grey,120.0,,,,,,,,,,,,,Ireland,Unknown,"Independent Dealer
4.6/5","Dublin 11, Co. Dublin",Caddy,63500.0,,,Co. Dublin,,,,,,,Volkswagen Caddy,0.4,1,3
Life,53910.0,2.0 L Diesel,Mar 2027,2023.0,Automatic,2,Volkswagen,Diesel,MPV,5,Medium Trim,7,Grey,210.0,,5.3 L/100 km,,2.0 L,4.85 m,,1.86 m,,,,,,Ireland,No,"Independent Dealer
4.6/5","Dublin 11, Co. Dublin",Caddy,62500.0,,,Co. Dublin,,,,,,,Volkswagen Caddy,0.4,1,3
---,10.0,2.0 L Diesel,---,2025.0,Automatic,0,Renault,Diesel,MPV,5,---,8,Other,120.0,,,,,,,,,,,,,Ireland,Unknown,"Independent Dealer
4.6/5","Dublin 11, Co. Dublin",Trafic,123.0,,,Co. Dublin,,,,,,,Renault Trafic,0.105,1,1
---,10.0,1.5 L Diesel,---,2025.0,Automatic,0,Citroen,Diesel,MPV,5,---,5,Other,120.0,,,,,,,,,,,,,Ireland,Unknown,"Independent Dealer
4.6/5","Dublin 11, Co. Dublin",Berlingo,123.0,,,Co. Dublin,,,,,,,Citroen Berlingo,0.3666666666666667,2,1
---,6000.0,2.0 L Diesel,---,2025.0,Automatic,0,Volkswagen,Diesel,MPV,5,---,7,Other,120.0,,,,,,,,,,,,,Ireland,Unknown,"Independent Dealer
4.6/5","Dublin 11, Co. Dublin",Caddy,123.0,,,Co. Dublin,,,,,,,Volkswagen Caddy,0.4,1,3
---,100.0,Diesel,---,2025.0,Automatic,0,Volkswagen,Diesel,MPV,5,---,7,Other,,,,,,,,,,,,,,Ireland,Unknown,"Independent Dealer
4.6/5","Dublin 11, Co. Dublin",Caddy,123.0,,,Co. Dublin,,,,,,,Volkswagen Caddy,0.4,1,3
---,35.0,Diesel,---,2025.0,Automatic,0,Opel,Diesel,MPV,5,---,7,Other,,,,,,,,,,,,,,Ireland,Unknown,"Independent Dealer
4.6/5","Dublin 11, Co. Dublin",Combo,123.0,,,Co. Dublin,,,,,,,Opel Combo,-0.15625,1,1
all,10.0,2.0 L Diesel,---,2025.0,Automatic,1,Volkswagen,Diesel,MPV,5,Medium Trim,7,Other,300.0,,5.3 L/100 km,,2.0 L,4.85 m,1.82 m,1.86 m,5/5,,,,,Ireland,Unknown,"Independent Dealer
4.6/5","Dublin 11, Co. Dublin",Caddy,123.0,,14 cm,Co. Dublin,,,,,,,Volkswagen Caddy,0.4,1,3
all,10.0,2.0 L Diesel,---,2025.0,Automatic,0,Ford,Diesel,MPV,5,Luxury Trim,8,Other,400.0,,4.9 L/100 km,,2.0 L,4.43 m,1.82 m,1.84 m,4/5,,,,,Ireland,Unknown,"Independent Dealer
4.6/5","Dublin 11, Co. Dublin",Tourneo Connect,123.0,"1,838 L",14 cm,Co. Dublin,50 L,,,,,,Ford Tourneo Connect,0.25,1,3
---,20000.0,2.0 L Diesel,---,2023.0,Automatic,0,Volkswagen,Diesel,MPV,5,---,7,Other,120.0,,,,,,,,,,,,,Ireland,Unknown,"Independent Dealer
4.6/5","Dublin 11, Co. Dublin",Caddy,0.0,,,Co. Dublin,,,,,,,Volkswagen Caddy,0.4,1,3
---,10.0,2.0 L Diesel,---,2025.0,Automatic,0,Renault,Diesel,MPV,5,---,8,Other,197.0,,,,,,,,,,,,,Ireland,Unknown,"Independent Dealer
4.6/5","Dublin 11, Co. Dublin",Trafic,123.0,,,Co. Dublin,,,,,,,Renault Trafic,0.105,1,1
---,,2.0 L Diesel,---,2023.0,Automatic,---,Volkswagen,Diesel,MPV,---,---,7,Silver,,,,,,,,,,,,,,,,"Independent Dealer
4.6/5","Dublin 11, Co. Dublin",Caddy,,,,Co. Dublin,,,,,,,Volkswagen Caddy,0.4,1,3
---,10.0,2.0 L Diesel,---,2023.0,Automatic,0,Volkswagen,Diesel,MPV,5,---,7,Other,280.0,,,,,,,,,,,,,Ireland,Unknown,"Independent Dealer
4.6/5","Dublin 11, Co. Dublin",Caddy,123.0,,,Co. Dublin,,,,,,,Volkswagen Caddy,0.4,1,3
K3,81209.0,1.0 L Petrol,Mar 2027,2019.0,Manual,1,Kia,Petrol,Estate,5,Medium Trim,5,Grey,,,,,1.0 L,4.60 m,1.47 m,1.80 m,4/5,85%,68%,88%,52%,Ireland,No,Independent Dealer,"Tallaght, Co. Dublin",Ceed,14450.0,"1,694 L",,Co. Dublin,,,,,,,Kia Ceed,0.1712962962962962,1,3
Xperience,69381.0,1.0 L Petrol,Sep 2026,2022.0,Manual,1,SEAT,Petrol,SUV,5,Medium Trim,5,White,200.0,,5.3 L/100 km,,1.0 L,4.15 m,,1.78 m,5/5,80%,60%,95%,77%,Ireland,No,Franchise Dealer,Co. Wexford,Arona,21075.0,400 L,,,,,,,,,SEAT Arona,0.0834325396825396,1,3
HSE,92537.05,2.0 L Petrol Plug-in Hybrid,Feb 2026,2020.0,Automatic,2,Land Rover,Petrol Plug-in Hybrid,SUV,5,Luxury Trim,5,Grey,180.0,,,,2.0 L,4.88 m,1.80 m,2.07 m,,,,,,Ireland,UK,"Independent Dealer
4.8/5","Naas, Co. Kildare",Range Rover Sport,53950.0,"1,686 L",28 cm,Co. Kildare,90 L,,,13.1 kWh,,,Land Rover Range Rover Sport,0.35,2,4
DYNAMIQUE,248000.0,1.5 L Diesel,Sep 2024,2013.0,Manual,5,Renault,Diesel,Saloon,4,Medium Trim,5,Brown,200.0,4.0 L/100 km,4.5 L/100 km,5.4 L/100 km,1.5 L,4.62 m,1.48 m,1.81 m,,,,,,Ireland,No,"Private Seller
No rating yet","Tower, Co. Cork",Fluence,3950.0,,,,,,,,,,Renault Fluence,0.3178571428571429,1,3
S Line,,2.0 L Diesel,Jul 2028,2024.0,Automatic,1,Audi,Diesel,SUV,4,Sports Trim,5,Black,270.0,,5.3 L/100 km,,2.0 L,4.50 m,,1.84 m,,,,,,Ireland,No,"Franchise Dealer
4.4/5",Co. Galway,Q3,54950.0,"1,400 L",,Co. Galway,58 L,,,,,,Audi Q3,0.2434729064039409,1,1
Sport,148508.0,1.8 L Petrol,Apr 2026,2018.0,Manual,3,Audi,Petrol,Coupe,2,Base Trim,4,Red,,,,,1.8 L,4.18 m,1.35 m,1.83 m,4/5,68%,64%,81%,82%,Ireland,No,Independent Dealer,Co. Meath,TT,25950.0,712 L,,Co. Meath,,,,,,,Audi TT,-0.25,1,3
---,178173.0,1.6 L Diesel,Nov 2026,2016.0,Manual,2,Citroen,Diesel,Hatchback,5,---,7,Grey,190.0,,,,1.6 L,,,,,,,,,Ireland,UK,Independent Dealer,"Finglas, Co. Dublin",Grand C4 Picasso,9950.0,,,,,,,,,,Citroen Grand C4 Picasso,0.0339285714285714,1,2
N,236572.98,1.8 L Petrol,Feb 2026,2006.0,Manual,9,Skoda,,,,,,,636.0,,,,,,,,,,,,,Ireland,No,"Private Seller
No rating yet","Arklow, Co. Wicklow",Octavia,5150.0,,,,,,,,,,Skoda Octavia,0.1167956349206348,1,2
Highline,73000.0,1.5 L Petrol,Jul 2027,2019.0,Manual,2,Volkswagen,Petrol,Hatchback,5,Luxury Trim,5,Black,,,,,1.5 L,4.26 m,1.49 m,1.79 m,,,,,,Ireland,No,Independent Dealer,Co. Wicklow,Golf,20950.0,"1,270 L",14 cm,Co. Wicklow,50 L,,,,,,Volkswagen Golf,0.0,1,5
Life,28125.0,1.0 L Petrol,Aug 2026,2022.0,Manual,1,Volkswagen,Petrol,SUV,5,Base Trim,5,White,210.0,,6.0 L/100 km,,1.0 L,4.24 m,,1.82 m,5/5,87%,71%,96%,79%,Ireland,No,"Franchise Dealer
4.3/5",Co. Carlow,T-Roc,27950.0,"1,290 L",,Co. Carlow,50 L,,,,,,Volkswagen T-Roc,0.1166666666666666,1,2
CONNECTED SPECIAL EDITION,179900.0,1.6 L Diesel,Aug 2026,2015.0,Manual,1,Citroen,Diesel,Hatchback,4,Base Trim,5,Grey,190.0,3.6 L/100 km,4.2 L/100 km,5.2 L/100 km,1.6 L,4.33 m,1.50 m,1.79 m,,,,,,Ireland,No,Independent Dealer,Co. Limerick,C4,5950.0,"1,183 L",,,60 L,,,,,,Citroen C4,0.2787499999999999,1,3
---,202776.84,2.0 L Diesel,---,2018.0,Automatic,5,Volkswagen,Diesel,Hatchback,5,---,5,Red,280.0,,,,,,,,,,,,,UK,,"Private Seller
No rating yet","Coalisland, Co. Tyrone",Arteon,15736.5,,,,,,,,,,Volkswagen Arteon,0.1684573002754821,2,3
SE,233354.3,2.0 L Diesel,Jul 2026,2016.0,Manual,3,Audi,Diesel,Saloon,4,Medium Trim,5,Grey,200.0,4.1 L/100 km,4.6 L/100 km,5.5 L/100 km,2.0 L,4.70 m,1.43 m,1.83 m,,,,,,Ireland,No,Independent Dealer,Co. Dublin,A4,11999.0,480 L,,Co. Dublin,,,,,,,Audi A4,0.1259649122807017,1,2
N,236000.0,1.2 L Petrol,Oct 2025,2007.0,Manual,9,Volkswagen,,,,,,,330.0,,,,,,,,,,,,,Ireland,No,"Private Seller
No rating yet","Swords, Co. Dublin",Polo,2200.0,,,,,,,,,,Volkswagen Polo,0.3681818181818181,2,1
Titanium,53768.0,1.0 L Hybrid,Feb 2027,2021.0,Manual,1,Ford,Hybrid,Hatchback,4,Medium Trim,5,Blue,,,,,1.0 L,4.38 m,,1.83 m,,,,,,Ireland,No,"Franchise Dealer
4.5/5","Mullingar, Co. Westmeath",Focus,21950.0,,,Co. Westmeath,,125 hp,199 km/h,0.4 kWh,10.0 sec,,Ford Focus,0.0116071428571428,1,4
N,217008.0,1.6 L Petrol,Jan 2026,2008.0,Manual,4,Nissan,,,,,,,600.0,,,,,,,,,,,,,Ireland,No,"Verified Private Seller
No rating yet","Ashbourne, Co. Meath",Tiida,1750.0,,,,,,,,,,Nissan Tiida,0.1297619047619047,2,5
N,124199.20516,1.2 L Petrol,Jan 2025,2004.0,Manual,3,Ford,,,,,,,358.0,,,,,,,,,,,,,Ireland,No,"Verified Private Seller
4.0/5 (1)","Bruff, Co. Limerick",Fiesta,1150.0,,,,,,,,,,Ford Fiesta,0.1742424242424242,2,5
SE,297000.0,2.0 L Diesel,Dec 2025,2014.0,Manual,2,Audi,Diesel,Saloon,4,Medium Trim,5,White,200.0,,4.0 L/100 km,,2.0 L,4.70 m,1.43 m,1.83 m,5/5,84%,71%,93%,39%,Ireland,UK,"Verified Private Seller
No rating yet","Cootehill, Co. Cavan",A4,8000.0,,,,,,,,,,Audi A4,0.1259649122807017,1,2
N,217260.9,1.5 L Diesel,Mar 2025,2010.0,Unknown,1,Renault,,,,,,,280.0,,,,1.5 L,,,,,,,,,Ireland,N. Ireland,Independent Dealer,Co. Dublin,Scenic,2950.0,,,Co. Dublin,,,,,,,Renault Scenic,0.2355208333333333,1,3
Luna,273587.8,1.6 L Diesel,Oct 2026,2016.0,Manual,1,Toyota,Diesel,Hatchback,5,Medium Trim,5,White,190.0,3.5 L/100 km,4.1 L/100 km,5.0 L/100 km,1.6 L,4.28 m,1.46 m,1.76 m,,,,,,Ireland,UK,"Private Seller
No rating yet","Ballybofey, Co. Donegal",Auris,7995.0,,,,,,,,,,Toyota Auris,0.2433333333333333,1,2
